Threshold,Neurons,Average Firing,STD Firing
0.05,8,0.262019230769231,0.0411050663457674
0.05,16,0.268830128205128,0.0159754824017443
0.05,32,0.268028846153846,0.0147987922804052
0.1,8,0.280448717948718,0.0503011149938572
0.1,16,0.286458333333333,0.00556876613906859
0.1,32,0.276842948717949,0.0159211335987433
0.2,8,0.329326923076923,0.0332739547557659
0.2,16,0.336538461538462,0.0126287745543882
0.2,32,0.334735576923077,0.00683090011460711
